Education_Sector,Entity_Type,School_No,School_Name,School_Type,Address_Line_1,Address_Town,Address_State,Address_Postcode,LGA_Name,longitude,latitude,score
Government,1,776,Bright P-12 College,Pri/Sec,46 Bakers Gully Road,Bright,VIC,3741,Alpine (S),146.960928,-36.733105,28
Government,1,932,Bannockburn P-12 College,Pri/Sec,139 Milton Street,Bannockburn,VIC,3331,Golden Plains (S),144.160668,-38.042004,25
Government,1,1549,Murtoa P-12 College,Pri/Sec,Webb Street,Murtoa,VIC,3390,Yarriambiack (S),142.475745,-36.623495,24
Government,1,3515,Mallacoota P-12 College,Pri/Sec,25 Bucknall Street,Mallacoota,VIC,3892,East Gippsland (S),149.754296,-37.559427,31
Government,1,3920,Cann River P-12 College,Pri/Sec,20-24 Tamboon Road,Cann River,VIC,3890,East Gippsland (S),149.153022,-37.5697,30
Government,1,5375,Derrinallum P-12 College,Pri/Sec,Campbell Street,Derrinallum,VIC,3325,Corangamite (S),143.216741,-37.939591,31
Government,1,5376,Mortlake P-12 College,Pri/Sec,10 Hood Avenue,Mortlake,VIC,3272,Moyne (S),142.80955,-38.086366,31
Government,1,5403,Tyrrell College,Pri/Sec,10 Sutcliff Street,Sea Lake,VIC,3533,Buloke (S),142.853519,-35.509276,28
Government,1,5432,Edenhope College,Pri/Sec,40-48 Lake Street,Edenhope,VIC,3318,West Wimmera (S),141.2985627,-37.03342876,27
Government,1,5433,Murrayville Community College,Pri/Sec,20 Francis Street,Murrayville,VIC,3512,Mildura (RC),141.1773365,-35.26557452,21
Government,1,5434,Hawkesdale P12 College,Pri/Sec,65 Mitchell Street,Hawkesdale,VIC,3287,Moyne (S),142.319173,-38.106976,21
Government,1,5435,Carwatha College P-12,Pri/Sec,43-81 Browns Road,Noble Park,VIC,3174,Greater Dandenong (C),145.188726,-37.942845,27
Government,1,5552,Hazel Glen College,Pri/Sec,115 Eminence Blvd,Doreen,VIC,3754,Whittlesea (C),145.119368,-37.597553,27
Government,1,6203,Apollo Bay P-12 College,Pri/Sec,Pengilley Avenue,Apollo Bay,VIC,3233,Colac-Otway (S),143.660507,-38.753524,30
Government,1,6212,Collingwood College,Pri/Sec,Cnr Cromwell St/McCutcheon Way,Collingwood,VIC,3066,Yarra (C),144.990497,-37.802985,27
Government,1,6217,East Loddon P-12 College,Pri/Sec,Dingee Road,Dingee,VIC,3571,Loddon (S),144.141446,-36.372222,33
Government,1,6223,Goroke P-12 College,Pri/Sec,55 Natimuk-Frances Road,Goroke,VIC,3412,West Wimmera (S),141.48354,-36.715786,32
Government,1,6231,Lavers Hill K-12 College,Pri/Sec,Great Ocean Road,Lavers Hill,VIC,3238,Colac-Otway (S),143.383051,-38.681844,23
Government,1,6235,Manangatang P-12 College,Pri/Sec,4105 Mallee Highway,Manangatang,VIC,3546,Swan Hill (RC),142.884879,-35.056234,27
Government,1,6236,Terang College,Pri/Sec,45 Strong Street,Terang,VIC,3264,Corangamite (S),142.921395,-38.246282,29
Government,1,6238,Rushworth P-12 College,Pri/Sec,45 Heily Street,Rushworth,VIC,3612,Campaspe (S),145.014399,-36.583317,27
Government,1,6242,Macleod College,Pri/Sec,Carwarp Street,Macleod,VIC,3085,Banyule (C),145.072218,-37.724746,27
Government,1,6252,Sherbrooke Community School,Pri/Sec,311 Mt Dandenong Tourist Road,Sassafras,VIC,3787,Yarra Ranges (S),145.349444,-37.868244,30
Government,1,6259,Camperdown College,Pri/Sec,1 Wilson Street,Camperdown,VIC,3260,Corangamite (S),143.145435,-38.239731,27
Government,1,6260,Timboon P-12 School,Pri/Sec,Bailey Street,Timboon,VIC,3268,Corangamite (S),142.975889,-38.484056,26
Government,1,6261,Virtual School Victoria,Pri/Sec,315 Clarendon Street,Thornbury,VIC,3071,Darebin (C),145.025701,-37.76204,28
Government,1,6262,Wedderburn College,Pri/Sec,15-29 Hospital Street,Wedderburn,VIC,3518,Loddon (S),143.61877,-36.417022,26
Government,1,7028,Mount Erin Secondary College,Secondary,Robinsons Road,Frankston South,VIC,3199,Frankston (C),145.14663,-38.174118,26
Government,1,7050,Box Hill Senior Secondary College,Pri/Sec,Dunloe Avenue,Mont Albert North,VIC,3129,Whitehorse (C),145.111907,-37.809243,25
Government,1,7088,Cobden Technical School,Secondary,Mckenzie Street,Cobden,VIC,3266,Corangamite (S),143.0636059,-38.32403633,22
Government,1,7108,Lyndhurst Secondary College,Secondary,950 South Gippsland Highway,Cranbourne,VIC,3977,Casey (C),145.271028,-38.075386,28
Government,1,7115,Daylesford Secondary College,Secondary,39 Smith Street,Daylesford,VIC,3460,Hepburn (S),144.151851,-37.33466597,26
Government,1,7122,Dromana Secondary College,Secondary,110 Harrisons Road,Dromana,VIC,3936,Mornington Peninsula (S),145.013582,-38.342636,31
Government,1,7183,Grovedale College,Secondary,19 Wingarra Drive,Grovedale,VIC,3216,Greater Geelong (C),144.327441,-38.210399,26
Government,1,7219,Lilydale Heights College,Secondary,17-19 Nelson Road,Lilydale,VIC,3140,Yarra Ranges (S),145.3414068,-37.7458221,25
Government,1,7247,Staughton College,Secondary,Wilson Road,Melton South,VIC,3338,Melton (C),144.568689,-37.708365,25
Government,1,7255,Bentleigh Secondary College,Secondary,Vivien St,Bentleigh East,VIC,3165,Glen Eira (C),145.059798,-37.927357,28
Government,1,7267,Mount Clear College,Secondary,59 Olympic Avenue,Mount Clear,VIC,3353,Ballarat (C),143.876673,-37.607965,28
Government,1,7275,Rosehill Secondary College,Secondary,Sapphire Street,Niddrie,VIC,3042,Moonee Valley (C),144.886183,-37.746679,28
Government,1,7300,Northern College of the Arts and Technology,Secondary,62 Murray Road,Preston,VIC,3072,Darebin (C),145.025372,-37.740069,29
Government,1,7366,Swinburne Senior Secondary College,Secondary,505 Burwood Road,Hawthorn,VIC,3122,Boroondara (C),145.040821,-37.823135,28
Government,1,7384,Victorian College Of The Arts Secondary School,Secondary,57 Miles Street,Southbank,VIC,3006,Melbourne (C),144.964767,-37.828229,32
Government,1,7395,Brauer Secondary College,Secondary,Caramut Road,Warrnambool,VIC,3280,Warrnambool (C),142.458924,-38.358714,28
Government,1,7402,Wyndham Central Secondary College,Secondary,101 Shaws Road,Werribee,VIC,3030,Wyndham (C),144.65385,-37.888932,26
Government,1,7408,Whittlesea Secondary College,Secondary,55 Laurel Street,Whittlesea,VIC,3757,Whittlesea (C),145.1201751,-37.5150463,23
Government,1,7505,Alexandra Secondary College,Secondary,Downey Street,Alexandra,VIC,3714,Murrindindi (S),145.701477,-37.19449,26
Government,1,7526,Auburn High School,Secondary,26 Burgess Street,Hawthorn East,VIC,3123,Boroondara (C),145.045067,-37.83988,31
Government,1,7540,Ballarat High School,Secondary,Sturt Street West,Ballarat,VIC,3350,Ballarat (C),143.818213,-37.554522,29
Government,1,7550,Balwyn High School,Secondary,Buchanan Avenue,Balwyn North,VIC,3104,Boroondara (C),145.0767724,-37.79785922,32
Government,1,7560,Bayswater Secondary College,Secondary,14 Orchard Road,Bayswater,VIC,3153,Knox (C),145.261998,-37.83903,25
Government,1,7565,Beaufort Secondary College,Secondary,1/37 Park Road,Beaufort,VIC,3373,Pyrenees (S),143.382486,-37.438844,27
Government,1,7566,Beaumaris Secondary College,Secondary,117 - 136 Reserve Road,Beaumaris,VIC,3193,Bayside (C),145.034078,-37.978396,31
Government,1,7575,Beechworth Secondary College,Secondary,85 Balaclava Road,Beechworth,VIC,3747,Indigo (S),146.690764,-36.34722,25
Government,1,7585,Belmont High School,Secondary,Rotherham Street,Belmont,VIC,3216,Greater Geelong (C),144.330562,-38.175654,28
Government,1,7595,Bendigo Senior Secondary College,Secondary,40 Gaol Road,Bendigo,VIC,3550,Greater Bendigo (C),144.279278,-36.755301,26
Government,1,7603,Berwick Secondary College,Secondary,Manuka Road,Berwick,VIC,3806,Casey (C),145.365438,-38.031398,29
Government,1,7610,Blackburn High School,Secondary,60 Springfield Road,Blackburn,VIC,3130,Whitehorse (C),145.149893,-37.81037,29
Government,1,7635,Box Hill High School,Secondary,1180 Whitehorse Road,Box Hill,VIC,3128,Whitehorse (C),145.137208,-37.820003,32
Government,1,7645,Braybrook College,Secondary,352 Ballarat Road,Braybrook,VIC,3019,Maribyrnong (C),144.847537,-37.778257,31
Government,1,7647,Brentwood Secondary College,Secondary,65-71 Watsons Road,Glen Waverley,VIC,3150,Monash (C),145.1663432,-37.89950842,29
Government,1,7650,Brighton Secondary College,Secondary,120 Marriage Road,Brighton East,VIC,3187,Bayside (C),145.019119,-37.920156,31
Government,1,7655,Broadford Secondary College,Secondary,2-12 Pinniger Street,Broadford,VIC,3658,Mitchell (S),145.040033,-37.204375,23
Government,1,7670,Buckley Park College,Secondary,59-99 Cooper Street,Essendon,VIC,3040,Moonee Valley (C),144.897755,-37.747117,29
Government,1,7680,Camberwell High School,Secondary,Prospect Hill Road,Canterbury,VIC,3126,Boroondara (C),145.072821,-37.830151,30
Government,1,7690,Canterbury Girls Secondary College,Secondary,16 Mangarra Road,Canterbury,VIC,3126,Boroondara (C),145.069102,-37.820289,32
Government,1,7695,Casterton Secondary College,Secondary,27 Mt Gambier Road,Casterton,VIC,3311,Glenelg (S),141.387493,-37.588796,32
Government,1,7720,Cheltenham Secondary College,Secondary,73-75 Bernard Street,Cheltenham,VIC,3192,Kingston (C),145.068676,-37.953762,29
Government,1,7725,Cobram Secondary College,Secondary,25-47 Warkil Street,Cobram,VIC,3644,Moira (S),145.654121,-35.913605,24
Government,1,7735,Cohuna Secondary College,Secondary,6415 Murray Valley Highway,Cohuna,VIC,3568,Gannawarra (S),144.226425,-35.813503,28
Government,1,7747,Cranbourne Secondary College,Secondary,Stawell Street,Cranbourne,VIC,3977,Casey (C),145.286136,-38.107591,26
Government,1,7763,Mount Alexander 7-12 College,Secondary,167-175 Mt Alexander Road,Flemington,VIC,3031,Moonee Valley (C),144.933235,-37.782154,29
Government,1,7770,Dimboola Memorial Secondary College,Secondary,66 Ellerman Street,Dimboola,VIC,3414,Hindmarsh (S),142.034409,-36.449839,29
Government,1,7773,East Doncaster Secondary College,Secondary,20 George Street,Doncaster East,VIC,3109,Manningham (C),145.158557,-37.782127,34
Government,1,7775,Donald High School,Secondary,2-16 Camp Street,Donald,VIC,3480,Buloke (S),142.973962,-36.370779,30
Government,1,7776,Doncaster Secondary College,Secondary,123 Church Road,Doncaster,VIC,3108,Manningham (C),145.138053,-37.784581,30
Government,1,7785,Drouin Secondary College,Secondary,South Road,Drouin,VIC,3818,Baw Baw (S),145.850978,-38.144659,27
Government,1,7805,Eltham High School,Secondary,30-60 Withers Way,Eltham,VIC,3095,Nillumbik (S),145.141725,-37.724436,30
Government,1,7810,Elwood College,Secondary,101 Glenhuntly Road,Elwood,VIC,3184,Port Phillip (C),144.985203,-37.88232,31
Government,1,7813,Epping Secondary College,Secondary,Mcdonalds Road,Epping,VIC,3076,Whittlesea (C),145.033426,-37.644001,27
